species,breed_type,body_weight_kg,daily_milk_yield_kg,milk_fat_percent,fcm_4pct_kg,req_dmi_kg_per_day,req_tdn_kg_per_day,req_me_mj_per_day,req_cp_g_per_day,req_calcium_g_per_day,req_phosphorus_g_per_day,icar_standard_reference
Cattle,Indigenous_Zebu,350,20,5.0,23.0,14.3,10.11,152.7,2294.9,86.5,58.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,0,4.0,0.0,8.8,3.04,45.9,375.7,20.0,14.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,0,4.5,0.0,8.8,3.04,45.9,375.7,20.0,14.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,0,5.0,0.0,8.8,3.04,45.9,375.7,20.0,14.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,5,4.0,5.0,10.45,4.64,70.1,800.7,35.0,24.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,5,4.5,5.38,10.45,4.76,71.9,832.5,36.1,24.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,5,5.0,5.75,10.45,4.88,73.7,864.4,37.2,25.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,10,4.0,10.0,12.1,6.24,94.2,1225.7,50.0,34.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,10,4.5,10.75,12.1,6.48,97.8,1289.4,52.2,35.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,10,5.0,11.5,12.1,6.72,101.5,1353.2,54.5,37.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,15,4.0,15.0,13.75,7.84,118.4,1650.7,65.0,44.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,15,4.5,16.12,13.75,8.2,123.8,1746.3,68.4,46.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,15,5.0,17.25,13.75,8.56,129.3,1841.9,71.8,48.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,20,4.0,20.0,15.4,9.44,142.5,2075.7,80.0,54.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,20,4.5,21.5,15.4,9.92,149.8,2203.2,84.5,57.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,400,20,5.0,23.0,15.4,10.4,157.0,2330.7,89.0,60.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,0,4.0,0.0,9.9,3.32,50.1,410.4,22.5,15.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,0,4.5,0.0,9.9,3.32,50.1,410.4,22.5,15.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,0,5.0,0.0,9.9,3.32,50.1,410.4,22.5,15.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,5,4.0,5.0,11.55,4.92,74.3,835.4,37.5,25.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,5,4.5,5.38,11.55,5.04,76.1,867.2,38.6,26.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,5,5.0,5.75,11.55,5.16,77.9,899.1,39.8,27.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,10,4.0,10.0,13.2,6.52,98.5,1260.4,52.5,35.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,10,4.5,10.75,13.2,6.76,102.1,1324.1,54.8,37.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,10,5.0,11.5,13.2,7.0,105.7,1387.9,57.0,38.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,15,4.0,15.0,14.85,8.12,122.6,1685.4,67.5,45.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,15,4.5,16.12,14.85,8.48,128.0,1781.0,70.9,48.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,15,5.0,17.25,14.85,8.84,133.5,1876.6,74.2,50.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,20,4.0,20.0,16.5,9.72,146.8,2110.4,82.5,55.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,20,4.5,21.5,16.5,10.2,154.0,2237.9,87.0,58.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,450,20,5.0,23.0,16.5,10.68,161.3,2365.4,91.5,61.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,0,4.0,0.0,11.0,3.6,54.4,444.1,25.0,17.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,0,4.5,0.0,11.0,3.6,54.4,444.1,25.0,17.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,0,5.0,0.0,11.0,3.6,54.4,444.1,25.0,17.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,5,4.0,5.0,12.65,5.2,78.5,869.1,40.0,27.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,5,4.5,5.38,12.65,5.32,80.3,901.0,41.1,28.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,5,5.0,5.75,12.65,5.44,82.1,932.8,42.2,29.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,10,4.0,10.0,14.3,6.8,102.7,1294.1,55.0,37.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,10,4.5,10.75,14.3,7.04,106.3,1357.8,57.2,39.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,10,5.0,11.5,14.3,7.28,109.9,1421.6,59.5,40.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,15,4.0,15.0,15.95,8.4,126.8,1719.1,70.0,47.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,15,4.5,16.12,15.95,8.76,132.3,1814.7,73.4,49.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,15,5.0,17.25,15.95,9.12,137.7,1910.3,76.8,52.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,20,4.0,20.0,17.6,10.0,151.0,2144.1,85.0,57.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,20,4.5,21.5,17.6,10.48,158.2,2271.6,89.5,60.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Indigenous_Zebu,500,20,5.0,23.0,17.6,10.96,165.5,2399.1,94.0,63.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,0,3.8,0.0,8.4,2.91,43.9,364.1,19.2,13.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,0,4.2,0.0,8.4,2.91,43.9,364.1,19.2,13.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,8,3.8,7.76,11.2,5.44,82.1,1047.0,44.1,29.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,8,4.2,8.24,11.2,5.59,84.4,1089.3,45.6,30.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,15,3.8,14.55,13.65,7.64,115.4,1644.5,65.8,43.9,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,15,4.2,15.45,13.65,7.93,119.7,1723.7,68.7,45.7,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,22,3.8,21.34,16.1,9.85,148.7,2242.1,87.5,58.1,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,22,4.2,22.66,16.1,10.28,155.2,2358.2,91.8,60.9,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,30,3.8,29.1,18.9,12.37,186.8,2924.9,112.4,74.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,350,30,4.2,30.9,18.9,12.96,195.7,3083.3,118.1,78.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,0,3.8,0.0,9.6,3.22,48.6,402.5,22.0,15.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,0,4.2,0.0,9.6,3.22,48.6,402.5,22.0,15.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,8,3.8,7.76,12.4,5.74,86.7,1085.4,46.8,31.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,8,4.2,8.24,12.4,5.9,89.1,1127.6,48.4,32.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,15,3.8,14.55,14.85,7.95,120.0,1682.9,68.6,45.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,15,4.2,15.45,14.85,8.24,124.4,1762.1,71.4,47.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,22,3.8,21.34,17.3,10.16,153.4,2280.4,90.3,60.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,22,4.2,22.66,17.3,10.58,159.8,2396.6,94.5,62.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,30,3.8,29.1,20.1,12.68,191.5,2963.3,115.1,76.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,400,30,4.2,30.9,20.1,13.26,200.2,3121.7,120.9,80.1,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,0,3.8,0.0,10.8,3.52,53.2,439.7,24.8,17.1,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,0,4.2,0.0,10.8,3.52,53.2,439.7,24.8,17.1,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,8,3.8,7.76,13.6,6.04,91.2,1122.5,49.6,33.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,8,4.2,8.24,13.6,6.2,93.6,1164.8,51.1,34.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,15,3.8,14.55,16.05,8.25,124.6,1720.1,71.3,47.7,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,15,4.2,15.45,16.05,8.54,129.0,1799.3,74.2,49.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,22,3.8,21.34,18.5,10.45,157.8,2317.6,93.0,61.9,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,22,4.2,22.66,18.5,10.88,164.3,2433.7,97.3,64.7,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,30,3.8,29.1,21.3,12.97,195.8,3000.5,117.9,78.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,450,30,4.2,30.9,21.3,13.56,204.8,3158.9,123.6,82.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,0,3.8,0.0,12.0,3.81,57.5,475.8,27.5,19.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,0,4.2,0.0,12.0,3.81,57.5,475.8,27.5,19.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,8,3.8,7.76,14.8,6.33,95.6,1158.7,52.3,35.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,8,4.2,8.24,14.8,6.48,97.8,1200.9,53.9,36.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,15,3.8,14.55,17.25,8.54,129.0,1756.2,74.1,49.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,15,4.2,15.45,17.25,8.83,133.3,1835.4,76.9,51.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,22,3.8,21.34,19.7,10.74,162.2,2353.7,95.8,63.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,22,4.2,22.66,19.7,11.17,168.7,2469.9,100.0,66.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,30,3.8,29.1,22.5,13.26,200.2,3036.6,120.6,80.1,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,500,30,4.2,30.9,22.5,13.85,209.1,3195.0,126.4,83.9,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,0,3.8,0.0,13.2,4.09,61.8,511.1,30.2,20.9,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,0,4.2,0.0,13.2,4.09,61.8,511.1,30.2,20.9,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,8,3.8,7.76,16.0,6.61,99.8,1194.0,55.1,37.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,8,4.2,8.24,16.0,6.77,102.2,1236.2,56.6,38.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,15,3.8,14.55,18.45,8.82,133.2,1791.5,76.8,51.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,15,4.2,15.45,18.45,9.11,137.6,1870.7,79.7,53.3,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,22,3.8,21.34,20.9,11.02,166.4,2389.0,98.5,65.7,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,22,4.2,22.66,20.9,11.45,172.9,2505.2,102.8,68.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,30,3.8,29.1,23.7,13.55,204.6,3071.9,123.4,82.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Cattle,Crossbred_BosTaurus_x_BosIndicus,550,30,4.2,30.9,23.7,14.13,213.4,3230.3,129.1,85.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,0,6.5,0.0,10.35,3.42,51.6,420.1,23.4,16.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,0,7.5,0.0,10.35,3.42,51.6,420.1,23.4,16.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,6,6.5,8.25,12.51,6.22,93.9,1179.1,52.3,36.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,6,7.5,9.15,12.51,6.53,98.6,1261.9,55.4,38.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,12,6.5,16.5,14.67,9.03,136.4,1938.1,81.2,55.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,12,7.5,18.3,14.67,9.64,145.6,2103.7,87.4,60.1,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,18,6.5,24.75,16.83,11.83,178.6,2697.1,110.0,75.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,18,7.5,27.45,16.83,12.75,192.5,2945.5,119.5,82.1,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,24,6.5,33.0,18.99,14.64,221.1,3456.1,138.9,95.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,450,24,7.5,36.6,18.99,15.86,239.5,3787.3,151.5,104.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,0,6.5,0.0,11.5,3.7,55.9,454.7,26.0,18.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,0,7.5,0.0,11.5,3.7,55.9,454.7,26.0,18.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,6,6.5,8.25,13.66,6.51,98.3,1213.7,54.9,37.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,6,7.5,9.15,13.66,6.81,102.8,1296.5,58.0,40.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,12,6.5,16.5,15.82,9.31,140.6,1972.7,83.8,57.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,12,7.5,18.3,15.82,9.92,149.8,2138.3,90.0,61.9,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,18,6.5,24.75,17.98,12.12,183.0,2731.7,112.6,77.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,18,7.5,27.45,17.98,13.03,196.8,2980.1,122.1,83.9,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,24,6.5,33.0,20.14,14.92,225.3,3490.7,141.5,97.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,500,24,7.5,36.6,20.14,16.14,243.7,3821.9,154.1,105.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,0,6.5,0.0,12.65,3.98,60.1,488.4,28.6,19.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,0,7.5,0.0,12.65,3.98,60.1,488.4,28.6,19.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,6,6.5,8.25,14.81,6.78,102.4,1247.4,57.5,39.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,6,7.5,9.15,14.81,7.09,107.1,1330.2,60.6,41.8,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,12,6.5,16.5,16.97,9.59,144.8,2006.4,86.3,59.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,12,7.5,18.3,16.97,10.2,154.0,2172.0,92.6,63.7,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,18,6.5,24.75,19.13,12.39,187.1,2765.4,115.2,79.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,18,7.5,27.45,19.13,13.31,201.0,3013.8,124.7,85.7,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,24,6.5,33.0,21.29,15.2,229.5,3524.4,144.1,99.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,550,24,7.5,36.6,21.29,16.42,247.9,3855.6,156.7,107.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,600,0,6.5,0.0,13.8,4.24,64.0,521.3,31.2,21.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,600,0,7.5,0.0,13.8,4.24,64.0,521.3,31.2,21.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,600,6,6.5,8.25,15.96,7.05,106.5,1280.3,60.1,41.4,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,600,6,7.5,9.15,15.96,7.35,111.0,1363.1,63.2,43.6,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,600,12,6.5,16.5,18.12,9.85,148.7,2039.3,89.0,61.2,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,600,12,7.5,18.3,18.12,10.47,158.1,2204.9,95.2,65.5,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,600,18,6.5,24.75,20.28,12.66,191.2,2798.3,117.8,81.0,ICAR-2013/2024 Dairy Nutrition Guidelines
Buffalo,Murrah_and_Indigenous_Buffalo,600,18,7.5,27.45,20.28,13.58,205.1,3046.7,127.3,87.5,ICAR-2013/2024 Dairy Nutrition Guidelines
