animal_id,state,agro_climatic_zone,species,breed,breed_type,age_months,body_weight_kg,parity,lactation_stage,days_in_milk,pregnancy_status,basal_milk_yield_kg,basal_milk_fat_pct,basal_dry_fodder_kg,basal_green_fodder_kg,basal_concentrate_kg,basal_mineral_mixture_g,basal_total_dmi_kg,basal_feed_cost_inr,rec_dry_fodder_kg,rec_green_fodder_kg,rec_silage_kg,rec_concentrate_kg,rec_mineral_mixture_g,rec_total_dmi_kg,rec_feed_cost_inr,daily_cost_saving_inr,post_balancing_milk_yield_kg,post_balancing_milk_fat_pct,daily_net_economic_gain_inr,ration_balanced_status,study_source
NDDB_RBP_00020,Maharashtra,Western,Buffalo,Jaffarabadi,Buffalo,81,504.6,2,Late,285,0,10.14,7.52,8.6,12.6,4.7,30.0,14.49,216.82,7.5,15.7,0.0,6.3,50.0,15.56,258.59,-41.77,11.2,7.83,12.4,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00021,Andhra_Pradesh,Southern,Cattle,Tharparkar,Indigenous_Zebu,59,448.1,3,Mid,159,0,11.03,4.7,6.5,12.2,2.8,20.0,10.81,149.99,5.6,15.9,0.0,5.6,50.0,13.26,226.58,-76.59,12.59,4.96,-4.22,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00022,Andhra_Pradesh,Southern,Cattle,HF_Cross,Crossbred,30,443.8,5,Late,206,1,22.56,3.81,6.5,14.3,5.2,0.0,13.39,215.41,5.2,17.5,8.0,10.2,50.0,19.92,374.7,-159.29,23.78,4.17,-78.69,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00023,Madhya_Pradesh,Central,Cattle,Tharparkar,Indigenous_Zebu,77,407.9,5,Early,53,0,10.42,4.59,8.1,10.6,5.8,30.0,14.63,237.27,6.1,13.7,0.0,5.4,50.0,13.09,220.29,16.98,11.91,4.87,86.94,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00024,Madhya_Pradesh,Central,Buffalo,Murrah,Buffalo,45,575.8,2,Mid,174,1,13.75,7.19,8.1,15.5,4.4,0.0,14.35,209.25,6.8,21.8,12.0,8.1,50.0,21.61,355.56,-146.31,15.68,7.39,-60.43,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00025,Madhya_Pradesh,Central,Cattle,Sahiwal,Indigenous_Zebu,64,398.5,1,Mid,104,0,12.55,4.54,5.6,19.8,3.5,30.0,12.15,178.96,4.8,25.5,8.0,6.2,50.0,17.56,285.3,-106.34,14.28,4.87,-21.75,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00026,Madhya_Pradesh,Central,Cattle,Red_Sindhi,Indigenous_Zebu,39,382.6,5,Late,206,1,13.12,4.55,6.5,17.0,5.5,30.0,14.2,231.55,5.7,22.2,0.0,6.4,50.0,15.33,261.99,-30.44,14.75,4.76,43.89,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00027,Gujarat,Western,Cattle,Gir,Indigenous_Zebu,42,420.4,3,Early,33,0,11.11,4.4,9.1,11.1,3.6,0.0,13.65,186.27,7.7,14.7,0.0,5.6,50.0,14.91,239.69,-53.42,12.37,4.66,7.32,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00028,Haryana,Northern,Cattle,Kankrej,Indigenous_Zebu,82,429.6,1,Early,53,0,7.64,4.5,5.7,16.6,4.0,20.0,12.05,184.87,4.7,22.8,8.0,4.3,50.0,15.22,229.21,-44.34,8.13,4.84,-14.66,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00029,Madhya_Pradesh,Central,Cattle,Gir,Indigenous_Zebu,75,447.1,5,Mid,182,0,14.57,4.68,5.8,11.0,6.0,30.0,12.82,226.1,5.1,15.6,0.0,7.0,50.0,14.01,258.57,-32.47,16.68,5.08,74.4,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00030,Haryana,Northern,Cattle,Tharparkar,Indigenous_Zebu,60,400.1,3,Mid,196,1,9.74,4.53,7.2,13.0,3.9,0.0,12.59,184.0,5.5,16.0,0.0,5.1,50.0,12.74,213.05,-29.05,11.03,4.87,34.97,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00031,Madhya_Pradesh,Central,Cattle,Kankrej,Indigenous_Zebu,92,421.4,4,Mid,131,1,7.09,4.69,5.7,20.7,4.3,20.0,13.14,201.69,5.1,26.1,8.0,4.0,50.0,15.97,231.67,-29.98,8.13,4.97,18.65,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00032,Gujarat,Western,Buffalo,Mehsana,Buffalo,60,543.5,1,Early,68,0,12.67,7.4,5.7,13.4,5.8,30.0,13.03,225.43,4.6,16.4,0.0,7.5,50.0,14.17,269.58,-44.15,13.65,7.6,4.01,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00033,Andhra_Pradesh,Southern,Buffalo,Jaffarabadi,Buffalo,79,553.0,4,Late,234,0,11.34,7.45,5.6,13.4,3.9,0.0,11.23,172.88,4.8,16.6,0.0,6.9,50.0,13.85,255.92,-83.04,11.99,7.84,-39.64,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00034,Andhra_Pradesh,Southern,Cattle,Kankrej,Indigenous_Zebu,54,452.3,2,Early,24,0,13.53,4.65,5.7,10.3,3.8,0.0,10.61,164.21,4.7,14.9,8.0,6.6,50.0,15.71,271.63,-107.42,15.01,4.9,-36.17,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00035,Punjab,Northern,Cattle,HF_Cross,Crossbred,106,529.5,1,Mid,112,0,14.52,3.67,5.6,10.9,4.9,0.0,11.63,193.38,5.0,15.8,0.0,7.0,50.0,13.96,258.26,-64.88,16.1,4.0,16.41,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00036,Maharashtra,Western,Buffalo,Jaffarabadi,Buffalo,107,556.7,1,Early,15,0,17.59,7.61,6.4,18.1,4.7,30.0,13.61,212.42,5.1,21.8,0.0,10.0,50.0,17.95,350.21,-137.79,19.38,7.95,-43.41,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00037,Haryana,Northern,Cattle,Sahiwal,Indigenous_Zebu,34,463.5,6,Late,236,1,14.72,4.39,7.2,19.4,4.7,20.0,14.59,220.48,5.6,23.9,12.0,7.1,50.0,20.05,325.18,-104.7,16.9,4.69,-1.58,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00038,Tamil_Nadu,Southern,Cattle,Sahiwal,Indigenous_Zebu,80,439.9,2,Late,263,1,16.27,4.36,8.0,20.3,5.8,30.0,16.48,257.86,6.6,28.6,0.0,7.7,50.0,18.59,316.62,-58.76,17.5,4.62,6.18,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00039,Tamil_Nadu,Southern,Cattle,Sahiwal,Indigenous_Zebu,106,434.3,6,Late,249,1,12.73,4.41,7.3,17.0,3.9,30.0,13.48,195.95,6.2,21.2,12.0,6.3,50.0,19.33,302.94,-106.99,13.89,4.78,-42.35,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00040,Madhya_Pradesh,Central,Cattle,Sahiwal,Indigenous_Zebu,48,407.3,5,Early,19,0,12.76,4.34,5.6,16.6,4.4,30.0,12.32,195.32,4.4,21.4,0.0,6.3,50.0,13.91,247.88,-52.56,13.82,4.57,0.43,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00041,Gujarat,Western,Buffalo,Jaffarabadi,Buffalo,85,572.2,6,Mid,121,1,9.55,7.28,8.7,19.0,3.1,20.0,14.42,189.25,7.2,27.2,0.0,6.0,50.0,17.32,273.84,-84.59,10.62,7.52,-33.73,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00042,Maharashtra,Western,Buffalo,Murrah,Buffalo,43,584.6,3,Early,21,0,14.87,7.64,8.5,10.4,5.5,0.0,14.68,229.63,7.1,13.1,0.0,8.6,50.0,16.75,309.67,-80.04,16.71,7.84,3.25,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00043,Gujarat,Western,Cattle,Jersey_Cross,Crossbred,73,472.5,1,Mid,159,0,16.74,4.18,8.1,15.8,4.5,0.0,14.5,212.51,6.8,21.9,0.0,7.9,50.0,17.61,308.58,-96.07,18.52,4.42,-10.65,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00044,Tamil_Nadu,Southern,Cattle,Red_Sindhi,Indigenous_Zebu,93,432.0,2,Late,243,1,8.05,4.59,7.0,15.9,5.5,0.0,14.43,230.48,5.5,19.8,8.0,4.4,50.0,15.43,231.21,-0.73,9.13,4.75,46.15,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00045,Madhya_Pradesh,Central,Buffalo,Murrah,Buffalo,35,617.5,2,Late,234,1,8.05,7.78,7.5,18.7,5.4,0.0,15.35,237.79,6.3,25.1,8.0,5.2,50.0,17.93,269.67,-31.88,9.13,7.98,16.46,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00046,Tamil_Nadu,Southern,Buffalo,Jaffarabadi,Buffalo,49,606.6,1,Mid,154,0,14.5,7.29,7.8,11.9,4.2,20.0,13.18,195.48,6.5,15.4,12.0,8.4,50.0,20.33,347.03,-151.55,15.42,7.46,-106.1,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00047,Madhya_Pradesh,Central,Cattle,Sahiwal,Indigenous_Zebu,94,451.6,5,Late,287,0,13.79,4.44,8.7,11.3,5.5,30.0,15.04,235.51,7.8,13.9,12.0,6.7,50.0,19.67,309.28,-73.77,15.85,4.64,17.19,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00048,Punjab,Northern,Cattle,Kankrej,Indigenous_Zebu,93,483.4,6,Early,74,0,12.89,4.36,8.7,12.4,3.1,0.0,13.1,173.13,6.8,15.6,0.0,6.4,50.0,15.0,255.72,-82.59,14.21,4.6,-18.79,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00049,Gujarat,Western,Buffalo,Jaffarabadi,Buffalo,101,602.4,6,Mid,193,1,13.86,7.44,7.8,14.3,3.9,0.0,13.39,191.36,6.5,20.4,8.0,8.1,50.0,19.78,336.23,-144.87,15.31,7.7,-73.85,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00050,Karnataka,Southern,Cattle,Kankrej,Indigenous_Zebu,71,465.7,4,Early,29,0,13.15,4.5,8.5,16.9,6.0,0.0,16.43,256.93,6.8,21.3,8.0,6.5,50.0,18.79,298.86,-41.93,14.0,4.7,1.57,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00051,Maharashtra,Western,Cattle,Sahiwal,Indigenous_Zebu,103,434.5,1,Mid,132,1,10.89,4.54,6.0,14.8,5.3,0.0,13.13,215.36,4.9,19.3,0.0,5.6,50.0,13.31,228.81,-13.45,12.22,4.85,52.24,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00052,Haryana,Northern,Cattle,Kankrej,Indigenous_Zebu,72,448.8,3,Early,83,0,12.79,4.68,6.9,12.7,4.0,0.0,12.35,183.69,6.2,15.7,0.0,6.3,50.0,14.39,248.84,-65.15,13.61,4.86,-24.19,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00053,Karnataka,Southern,Cattle,Gir,Indigenous_Zebu,72,438.1,4,Mid,147,1,13.66,4.46,7.8,17.3,4.0,0.0,14.08,200.56,6.0,24.4,8.0,6.7,50.0,18.87,304.88,-104.32,14.96,4.64,-44.15,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00054,Maharashtra,Western,Cattle,Red_Sindhi,Indigenous_Zebu,83,427.1,1,Early,15,0,14.09,4.71,7.9,14.8,2.7,0.0,12.5,162.01,6.2,20.7,0.0,6.8,50.0,15.84,272.84,-110.83,15.26,4.96,-51.11,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00055,Maharashtra,Western,Buffalo,Mehsana,Buffalo,31,570.4,2,Early,31,0,12.7,6.53,9.2,13.0,4.5,30.0,14.93,217.0,7.5,18.6,0.0,7.5,50.0,17.22,296.17,-79.17,14.33,6.75,-4.62,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00056,Haryana,Northern,Buffalo,Jaffarabadi,Buffalo,78,531.9,1,Mid,98,0,13.13,7.56,8.9,16.4,3.1,20.0,14.08,185.03,7.5,20.0,8.0,7.8,50.0,20.33,335.05,-150.02,14.35,7.91,-83.57,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00057,Madhya_Pradesh,Central,Cattle,Gir,Indigenous_Zebu,45,410.2,3,Early,32,0,10.35,4.69,7.6,16.4,4.2,0.0,13.9,202.28,6.3,20.3,0.0,5.3,50.0,14.5,233.71,-31.43,11.21,4.86,8.87,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00058,Andhra_Pradesh,Southern,Cattle,Kankrej,Indigenous_Zebu,63,424.5,4,Mid,101,0,13.85,4.64,9.0,14.9,4.4,20.0,15.04,216.28,7.1,20.4,0.0,6.7,50.0,16.5,276.33,-60.05,15.37,4.87,11.85,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00059,Punjab,Northern,Cattle,Red_Sindhi,Indigenous_Zebu,37,431.0,2,Mid,110,0,14.92,4.74,8.7,21.6,5.8,0.0,17.37,263.57,6.8,27.5,12.0,7.2,50.0,21.94,344.7,-81.13,15.8,5.05,-28.1,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00060,Karnataka,Southern,Cattle,Gir,Indigenous_Zebu,48,447.9,4,Late,299,1,15.14,4.73,6.9,13.1,3.8,20.0,12.25,180.97,5.2,18.4,0.0,7.3,50.0,14.93,273.28,-92.31,16.52,5.02,-20.71,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00061,Madhya_Pradesh,Central,Cattle,Sahiwal,Indigenous_Zebu,53,416.5,1,Late,216,1,17.88,4.39,6.2,15.8,4.3,0.0,12.61,193.06,5.2,21.5,8.0,8.4,50.0,19.1,336.7,-143.64,19.16,4.7,-71.24,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00062,Maharashtra,Western,Cattle,Tharparkar,Indigenous_Zebu,66,412.1,3,Mid,160,1,13.71,4.6,5.8,14.9,4.2,30.0,11.98,187.88,4.5,17.9,0.0,6.7,50.0,13.66,251.33,-63.45,14.76,4.82,-10.56,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00063,Maharashtra,Western,Buffalo,Murrah,Buffalo,82,564.1,2,Mid,187,1,12.04,7.57,7.2,14.2,5.9,0.0,14.63,238.64,5.5,19.2,0.0,7.2,50.0,15.27,274.69,-36.05,12.72,7.93,8.11,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00064,Gujarat,Western,Cattle,Tharparkar,Indigenous_Zebu,83,427.7,2,Early,69,0,12.65,4.77,8.4,12.6,2.6,30.0,12.42,160.72,6.5,17.8,0.0,6.3,50.0,15.08,255.71,-94.99,13.91,5.07,-30.42,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00065,Gujarat,Western,Cattle,Sahiwal,Indigenous_Zebu,102,459.4,1,Early,31,0,13.3,4.48,7.9,15.5,2.8,0.0,12.73,166.15,6.9,21.3,0.0,6.5,50.0,16.32,271.61,-105.46,13.97,4.66,-69.94,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00066,Haryana,Northern,Cattle,Red_Sindhi,Indigenous_Zebu,78,424.6,5,Early,31,0,14.65,4.68,6.2,16.5,5.6,30.0,13.92,230.8,5.2,22.9,0.0,7.1,50.0,15.65,277.98,-47.18,16.4,5.04,42.94,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00067,Maharashtra,Western,Buffalo,Mehsana,Buffalo,44,518.7,3,Early,40,0,8.32,7.21,9.2,12.2,4.5,0.0,14.77,212.84,7.3,15.0,8.0,5.4,50.0,16.99,260.15,-47.31,8.98,7.59,-8.58,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00068,Punjab,Northern,Cattle,Sahiwal,Indigenous_Zebu,68,475.0,3,Mid,117,0,10.3,4.44,6.4,11.4,2.8,0.0,10.56,145.88,5.3,14.9,8.0,5.3,50.0,15.08,242.33,-96.45,10.88,4.67,-64.4,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00069,Haryana,Northern,Cattle,Gir,Indigenous_Zebu,54,443.3,5,Late,224,1,11.41,4.75,7.2,15.5,6.0,20.0,14.98,245.7,6.3,20.6,12.0,5.8,50.0,18.85,289.37,-43.67,13.04,4.92,27.14,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00070,Madhya_Pradesh,Central,Cattle,Tharparkar,Indigenous_Zebu,91,431.4,5,Late,250,1,14.12,4.79,8.6,15.0,4.0,0.0,14.34,201.5,7.4,18.0,0.0,6.8,50.0,16.38,275.9,-74.4,15.33,5.01,-14.93,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00071,Maharashtra,Western,Cattle,Tharparkar,Indigenous_Zebu,54,388.7,1,Early,87,0,8.77,4.56,6.0,21.5,5.3,0.0,14.47,230.1,4.6,28.0,12.0,4.7,50.0,17.81,264.3,-34.2,9.98,4.86,23.76,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00072,Gujarat,Western,Cattle,Sahiwal,Indigenous_Zebu,33,456.9,3,Early,86,0,17.54,4.46,7.9,16.2,3.3,0.0,13.32,180.69,6.4,19.6,0.0,8.2,50.0,17.06,308.32,-127.63,19.78,4.7,-23.52,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00073,Tamil_Nadu,Southern,Cattle,Red_Sindhi,Indigenous_Zebu,78,437.5,1,Mid,113,0,12.18,4.71,6.5,16.2,4.2,0.0,12.87,193.59,5.0,22.7,0.0,6.1,50.0,14.53,250.04,-56.45,13.55,5.05,14.04,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00074,Gujarat,Western,Buffalo,Mehsana,Buffalo,40,567.4,1,Mid,137,0,15.11,7.46,8.9,19.7,4.8,0.0,16.27,234.89,7.7,25.0,12.0,8.8,50.0,23.69,387.55,-152.66,16.43,7.67,-88.7,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00075,Andhra_Pradesh,Southern,Cattle,Red_Sindhi,Indigenous_Zebu,99,399.7,5,Mid,190,1,8.53,4.84,7.5,15.8,4.6,0.0,14.05,210.61,6.3,21.6,12.0,4.6,50.0,17.97,260.37,-49.76,9.44,5.06,-6.87,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00076,Andhra_Pradesh,Southern,Cattle,HF_Cross,Crossbred,69,523.7,4,Early,73,0,26.14,3.95,8.8,18.4,4.9,20.0,16.01,235.48,7.5,23.0,0.0,11.7,50.0,21.88,415.05,-179.57,29.75,4.32,1.64,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
NDDB_RBP_00077,Karnataka,Southern,Cattle,Kankrej,Indigenous_Zebu,39,474.3,3,Mid,172,1,7.01,4.52,8.5,13.1,3.2,0.0,13.15,175.77,7.2,18.9,0.0,4.0,50.0,13.86,203.58,-27.81,7.44,4.76,-4.33,Balanced,NDDB Ration Balancing Programme (RBP) Field Trial Benchmark
