Cattle_ID,Breed,Region,Country,Climate_Zone,Management_System,Age_Months,Weight_kg,Parity,Lactation_Stage,Days_in_Milk,Feed_Type,Feed_Quantity_kg,Feeding_Frequency,Water_Intake_L,Walking_Distance_km,Grazing_Duration_hrs,Rumination_Time_hrs,Resting_Hours,Ambient_Temperature_C,Humidity_percent,Season,Housing_Score,FMD_Vaccine,Brucellosis_Vaccine,HS_Vaccine,BQ_Vaccine,Anthrax_Vaccine,IBR_Vaccine,BVD_Vaccine,Rabies_Vaccine,Previous_Week_Avg_Yield,Body_Condition_Score,Milking_Interval_hrs,Date,Farm_ID,Milk_Yield_L
CATTLE_000195,Norwegian_Red,Africa,IN,Continental,Extensive,46,554.9,5,Early,6,Hay,12.6,4,52.5,2.86,1.6,8.0,11.2,35.8,73.2,Spring,0.32,1,1,0,0,0,0,1,0,14.52,4.0,12,2023-05-18,FARM_0109,15.15
CATTLE_000202,Gir,Oceania,IN,Tropical,Extensive,140,547.5,1,Mid,364,Mixed_Feed,7.3,3,66.5,2.94,7.2,8.4,15.3,20.9,36.3,Summer,0.94,0,0,0,1,1,1,0,0,9.54,3.0,12,2024-04-24,FARM_0070,9.97
CATTLE_000237,Illawarra_Shorthorn,South_Asia,IN,Continental,Pastoral,47,605.4,5,Early,101,Mixed_Feed,6.8,2,89.5,4.22,4.5,8.8,8.3,18.7,97.4,Monsoon,0.4,0,1,0,0,1,0,1,1,11.19,4.5,12,2022-12-22,FARM_0448,11.91
CATTLE_000239,Red_Sindhi,South_America,IN,Temperate,Semi_Intensive,94,415.3,1,Late,68,Pasture_Grass,22.0,1,54.8,2.3,10.6,4.0,13.9,11.9,59.7,Autumn,0.85,0,0,0,0,1,0,0,1,1.24,4.5,8,2024-03-18,FARM_0132,0.69
CATTLE_000274,Jersey_Zebu_Cross,Africa,IN,Continental,Pastoral,64,638.0,1,Mid,72,Hay,16.2,2,57.5,4.89,4.5,6.8,17.0,23.7,68.9,Monsoon,0.7,0,0,1,0,1,1,0,1,13.87,3.5,12,2022-06-08,FARM_0423,15.07
CATTLE_000310,Gir,South_Asia,IN,Tropical,Extensive,131,610.8,4,Late,231,Crop_Residues,16.2,5,52.0,2.77,7.0,5.8,15.0,20.4,38.9,Winter,0.9,0,1,1,0,1,0,0,0,3.28,2.5,24,2023-10-03,FARM_0603,3.16
CATTLE_000318,Sahiwal,South_America,IN,Continental,Semi_Intensive,90,263.2,5,Late,34,Hay,4.9,1,37.7,2.31,6.1,8.2,8.6,34.0,63.6,Spring,0.89,0,0,1,0,1,0,0,0,9.24,3.5,12,2023-11-01,FARM_0310,7.54
CATTLE_000337,Holstein_Zebu_Cross,Africa,IN,Mediterranean,Pastoral,54,715.6,3,Early,182,Silage,13.0,1,48.1,3.95,6.2,10.2,9.8,45.0,77.5,Summer,0.38,1,1,1,0,1,1,0,1,17.9,3.5,8,2023-06-24,FARM_0944,17.27
CATTLE_000349,Gangatiri,South_America,IN,Continental,Mixed,115,478.2,3,Mid,208,Mixed_Feed,7.0,4,57.3,4.24,1.0,7.6,9.6,35.8,26.6,Winter,0.86,0,1,0,1,1,0,1,0,6.72,2.5,8,2023-06-29,FARM_0133,7.62
CATTLE_000353,Guernsey,Oceania,IN,Arid,Pastoral,64,439.3,6,Mid,327,Dry_Fodder,11.0,4,28.5,5.18,3.5,8.2,10.7,39.2,50.5,Summer,0.96,1,1,1,1,0,0,0,0,13.21,2.0,12,2024-02-24,FARM_0305,13.25
CATTLE_000357,Fleckvieh,Oceania,IN,Arid,Extensive,138,555.5,5,Mid,156,Mixed_Feed,14.6,2,44.2,4.59,5.0,8.1,6.4,24.8,57.2,Autumn,0.33,0,1,1,0,0,1,1,1,6.5,3.5,12,2024-08-06,FARM_0579,8.47
CATTLE_000373,Australian_Friesian_Sahiwal,South_Asia,IN,Tropical,Mixed,135,670.7,1,Early,175,Dry_Fodder,11.0,2,86.0,5.24,4.8,7.5,10.2,6.7,34.0,Summer,0.83,0,1,0,1,1,1,1,0,10.94,2.5,12,2023-06-09,FARM_0927,11.44
CATTLE_000390,Hariana,South_America,IN,Temperate,Extensive,141,382.0,2,Late,276,Silage,17.9,5,32.7,7.38,5.9,11.2,10.7,27.9,52.3,Summer,0.34,0,1,1,1,1,1,1,1,1.3,3.5,12,2023-03-09,FARM_0466,2.75
CATTLE_000431,Ongole,South_America,IN,Subtropical,Intensive,88,664.0,6,Early,313,Green_Fodder,15.0,2,50.8,3.61,2.7,7.0,7.9,6.0,22.4,Monsoon,0.73,1,0,1,1,0,0,1,1,6.67,3.5,12,2024-04-04,FARM_0217,4.43
CATTLE_000438,Tipo_Carora,Oceania,IN,Mediterranean,Pastoral,111,258.6,5,Late,2,Crop_Residues,9.6,3,72.0,1.86,3.3,5.2,13.5,34.3,73.5,Monsoon,0.73,1,1,1,0,0,1,0,1,8.46,3.5,24,2023-09-18,FARM_0411,7.38
CATTLE_000446,Jersey,Global,IN,Continental,Semi_Intensive,89,724.3,3,Early,352,Mixed_Feed,8.0,3,22.0,3.26,8.2,6.9,12.8,41.0,68.0,Monsoon,0.4,1,1,1,0,1,1,0,0,11.6,3.0,12,2023-03-19,FARM_0503,11.5
CATTLE_000489,Kankrej,South_America,IN,Arid,Pastoral,31,313.7,4,Mid,251,Green_Fodder,12.6,3,21.6,3.55,9.4,10.2,12.6,28.3,60.2,Summer,0.59,0,1,1,1,1,1,1,0,1.31,2.0,12,2024-09-07,FARM_0699,1.07
CATTLE_000493,Australian_Friesian_Sahiwal,Africa,IN,Mediterranean,Intensive,111,574.3,6,Early,228,Concentrates,15.9,4,83.5,5.26,8.4,8.1,7.8,16.5,71.0,Winter,0.79,1,1,1,1,1,0,0,1,12.92,3.0,12,2024-07-14,FARM_0925,10.86
CATTLE_000535,Ayrshire,Global,IN,Continental,Pastoral,86,619.3,2,Mid,163,Dry_Fodder,19.3,2,60.3,2.21,4.6,5.8,10.2,43.6,80.2,Spring,0.34,1,1,1,0,1,1,0,1,12.66,3.5,24,2024-03-28,FARM_0065,11.84
CATTLE_000542,Tharparkar,South_Asia,IN,Tropical,Mixed,24,531.7,6,Early,350,Mixed_Feed,7.8,1,76.0,2.23,6.2,7.3,9.9,-7.1,55.2,Monsoon,0.74,0,1,0,0,1,0,0,1,9.86,4.5,12,2022-10-19,FARM_0462,8.79
CATTLE_000558,Ongole,Oceania,IN,Tropical,Intensive,27,521.3,1,Late,242,Concentrates,15.1,4,46.4,5.49,2.4,5.5,7.3,20.4,73.0,Summer,0.81,1,0,1,1,1,0,1,0,3.04,3.5,12,2024-10-02,FARM_0348,2.15
CATTLE_000578,NDama,South_Asia,IN,Continental,Semi_Intensive,96,713.8,4,Early,342,Pasture_Grass,9.7,1,86.3,4.77,3.2,10.0,15.7,17.2,61.3,Monsoon,0.39,0,1,1,0,1,0,1,0,2.37,3.5,24,2023-05-01,FARM_0282,0.0
CATTLE_000596,Montbeliarde,South_Asia,IN,Subtropical,Extensive,78,598.2,2,Late,255,Green_Fodder,21.6,2,34.3,2.6,11.0,5.8,13.9,25.8,58.9,Autumn,0.82,1,0,1,0,1,0,1,1,14.96,4.0,24,2022-12-07,FARM_0815,16.08
CATTLE_000611,Fleckvieh,Global,IN,Subtropical,Pastoral,115,454.3,2,Early,269,Concentrates,5.2,1,53.3,3.26,1.2,9.1,13.5,8.2,49.6,Monsoon,0.37,0,0,1,1,1,1,1,1,8.85,3.5,12,2023-11-08,FARM_0048,11.82
CATTLE_000644,Rathi,South_Asia,IN,Tropical,Pastoral,66,421.3,2,Late,154,Hay,13.1,4,33.8,4.96,4.8,4.3,7.2,21.9,92.2,Spring,0.88,1,0,1,1,0,0,1,1,7.31,3.5,12,2022-12-13,FARM_0152,3.43
CATTLE_000657,Zebu_Cross_Brazil,Africa,IN,Arid,Extensive,30,470.5,4,Mid,205,Silage,6.5,5,69.7,1.25,5.9,8.3,7.9,17.0,56.3,Winter,0.65,0,1,0,1,0,1,1,0,4.38,3.5,8,2024-07-02,FARM_0446,3.25
CATTLE_000664,Sahiwal,South_America,IN,Continental,Intensive,112,319.6,6,Late,337,Silage,16.5,5,97.0,4.57,4.9,5.4,10.2,9.1,73.5,Monsoon,0.81,1,1,0,0,0,0,1,1,2.85,3.0,12,2024-02-28,FARM_0395,3.14
CATTLE_000682,Krishna_Valley,South_America,IN,Subtropical,Mixed,119,747.7,1,Mid,280,Concentrates,11.7,5,69.3,8.7,3.7,14.0,15.3,30.2,71.3,Winter,0.85,1,0,1,1,1,1,1,1,4.37,2.5,8,2023-08-11,FARM_0935,4.5
CATTLE_000693,Ongole,South_Asia,IN,Arid,Extensive,24,622.1,2,Mid,166,Silage,15.4,3,50.4,5.39,8.8,9.6,11.3,25.1,54.3,Monsoon,0.49,1,1,1,1,0,1,0,0,7.08,3.0,12,2023-07-03,FARM_0808,5.24
CATTLE_000696,Australian_Milking_Zebu,Global,IN,Continental,Semi_Intensive,66,538.9,6,Late,345,Silage,9.9,1,39.9,4.22,1.0,10.9,5.1,39.6,79.2,Summer,0.75,1,1,1,0,0,0,1,1,5.22,3.5,12,2023-03-26,FARM_0775,2.41
CATTLE_000702,Boran,Africa,IN,Mediterranean,Pastoral,101,609.1,5,Mid,278,Green_Fodder,3.0,3,40.1,9.81,10.7,9.9,6.9,21.0,38.1,Autumn,0.57,0,1,0,1,1,0,0,1,0.0,3.5,12,2022-01-04,FARM_0978,1.44
CATTLE_000717,Simmental,Oceania,IN,Mediterranean,Mixed,105,434.2,1,Mid,172,Crop_Residues,17.7,1,79.3,5.55,5.6,6.3,14.7,27.8,71.8,Summer,0.92,1,1,1,0,1,1,0,0,22.89,4.0,12,2023-08-02,FARM_0507,23.18
CATTLE_000768,Tharparkar,Oceania,IN,Mediterranean,Pastoral,124,388.3,4,Late,184,Dry_Fodder,12.4,2,71.5,2.45,4.1,7.9,15.5,29.2,65.6,Monsoon,0.67,0,1,0,0,0,1,0,0,4.95,4.5,12,2022-08-17,FARM_0419,4.56
CATTLE_000787,Holstein_Zebu_Cross,Africa,IN,Temperate,Mixed,112,638.9,3,Late,107,Crop_Residues,16.5,5,42.0,4.45,9.8,7.0,8.6,3.5,44.7,Monsoon,0.64,1,1,0,1,1,0,0,0,4.24,3.0,12,2022-04-10,FARM_0819,6.81
CATTLE_000821,Simmental,South_Asia,IN,Mediterranean,Pastoral,112,545.7,4,Mid,319,Crop_Residues,13.7,3,76.3,4.98,5.4,5.6,6.7,30.7,70.1,Summer,0.97,0,1,1,0,0,1,1,0,8.54,3.0,12,2022-07-21,FARM_0812,7.4
CATTLE_000823,Red_Poll_Africa,Africa,IN,Arid,Intensive,69,415.3,4,Early,267,Concentrates,13.3,2,52.1,3.85,7.9,8.4,7.7,27.0,36.0,Winter,0.63,1,1,1,1,1,1,1,1,4.88,2.5,12,2023-05-13,FARM_0842,6.26
CATTLE_000827,Ankole,Global,IN,Tropical,Mixed,139,505.7,6,Early,301,Crop_Residues,11.6,2,70.4,5.42,1.0,8.9,11.9,25.0,63.4,Monsoon,0.95,0,1,0,1,0,1,1,0,0.0,3.5,12,2024-11-29,FARM_0147,0.0
CATTLE_000844,Tharparkar,Global,IN,Tropical,Intensive,37,605.4,4,Early,267,Silage,16.9,2,36.3,4.01,4.9,5.9,11.6,37.5,83.1,Spring,0.6,0,0,1,1,1,0,0,1,7.63,3.0,12,2024-07-19,FARM_0997,8.23
CATTLE_000845,Tharparkar,South_Asia,IN,Tropical,Intensive,117,510.8,4,Early,12,Crop_Residues,16.4,5,54.6,0.5,2.6,6.9,10.2,10.0,83.8,Spring,0.61,0,0,1,1,1,1,1,0,7.7,4.0,12,2024-07-11,FARM_0493,5.35
CATTLE_000849,White_Fulani,Oceania,IN,Temperate,Semi_Intensive,43,703.1,5,Early,107,Hay,9.5,5,61.4,6.81,5.1,5.9,9.6,15.2,53.7,Summer,0.64,1,0,0,1,1,0,0,1,8.01,2.5,12,2024-05-04,FARM_0986,7.98
CATTLE_000853,Ongole,Oceania,IN,Temperate,Pastoral,109,703.0,1,Early,170,Pasture_Grass,19.5,5,70.9,2.85,5.4,10.2,11.2,11.9,62.1,Autumn,0.37,0,1,1,0,0,1,1,1,3.84,4.0,6,2023-03-13,FARM_0141,4.46
CATTLE_000860,Holstein-Friesian,South_America,IN,Arid,Semi_Intensive,128,281.3,3,Early,324,Pasture_Grass,4.0,5,69.0,1.98,4.2,6.9,13.4,17.5,61.2,Spring,0.72,0,0,1,0,1,1,1,1,11.7,3.5,24,2022-09-09,FARM_0790,11.93
CATTLE_000865,Australian_Milking_Zebu,Oceania,IN,Temperate,Pastoral,108,342.4,1,Early,274,Silage,16.5,2,78.6,3.17,1.0,11.1,9.1,18.7,59.9,Summer,0.84,0,1,1,1,0,0,0,1,8.68,3.5,12,2023-01-26,FARM_0055,8.31
CATTLE_000874,Norwegian_Red,Oceania,IN,Mediterranean,Pastoral,57,419.8,5,Late,293,Mixed_Feed,12.0,5,64.0,3.11,9.2,9.5,11.7,11.7,32.6,Spring,0.91,1,0,1,1,1,1,0,1,9.13,3.5,12,2022-03-19,FARM_0394,11.92
CATTLE_000894,Gir,South_America,IN,Mediterranean,Semi_Intensive,54,541.1,1,Mid,13,Mixed_Feed,18.1,5,20.0,5.74,4.2,9.5,10.6,13.2,100.0,Winter,0.47,0,0,0,1,1,1,0,1,2.87,2.0,12,2023-05-08,FARM_0199,3.54
CATTLE_000913,Tipo_Carora,Oceania,IN,Tropical,Pastoral,123,383.3,2,Mid,157,Concentrates,8.3,4,83.3,3.54,7.3,9.7,6.4,-5.9,80.4,Spring,0.96,0,0,0,0,0,1,0,1,4.35,3.0,12,2023-11-29,FARM_0975,6.77
CATTLE_000916,Ankole,Global,IN,Temperate,Pastoral,124,661.6,4,Early,22,Dry_Fodder,16.7,5,63.0,2.95,10.6,7.0,13.3,20.8,59.5,Autumn,0.63,1,1,1,0,1,1,1,0,3.74,3.5,12,2023-04-02,FARM_0018,3.29
CATTLE_000935,Africander,Global,IN,Continental,Pastoral,141,686.3,6,Early,4,Concentrates,17.8,3,66.5,2.48,13.2,9.6,17.3,24.1,48.1,Spring,0.46,0,1,1,0,1,0,0,1,5.83,3.5,12,2024-02-25,FARM_0819,4.01
CATTLE_001033,Holstein_Zebu_Cross,Africa,IN,Continental,Extensive,69,615.5,3,Mid,233,Green_Fodder,7.5,2,58.0,4.63,8.5,4.0,11.4,32.1,58.3,Autumn,0.6,0,1,0,1,0,1,0,1,8.74,3.5,8,2022-12-01,FARM_0147,10.55
CATTLE_001058,Ongole,Oceania,IN,Temperate,Mixed,141,336.5,4,Early,356,Mixed_Feed,5.9,3,72.9,6.16,2.4,6.6,12.1,22.8,71.2,Summer,0.72,1,0,1,0,1,0,0,1,2.6,3.0,24,2024-03-28,FARM_0773,3.07
CATTLE_001091,Sahiwal,Oceania,IN,Mediterranean,Semi_Intensive,103,303.2,4,Late,304,Mixed_Feed,17.0,3,57.7,3.23,8.2,6.5,7.6,5.0,59.6,Winter,0.68,1,0,1,0,0,0,1,1,6.08,3.5,12,2024-08-23,FARM_0934,6.67
CATTLE_001092,Holstein_Zebu_Cross,Africa,IN,Mediterranean,Semi_Intensive,40,397.2,3,Late,34,Dry_Fodder,14.1,1,41.6,0.5,5.7,7.8,13.8,-5.1,67.4,Autumn,0.97,0,1,1,1,1,1,0,0,8.08,4.0,12,2022-02-05,FARM_0332,8.67
CATTLE_001111,Holstein_Zebu_Cross,Africa,IN,Arid,Extensive,141,526.6,5,Late,67,Mixed_Feed,12.5,4,21.9,7.07,9.6,10.5,5.7,24.2,57.1,Summer,0.43,1,1,0,0,0,0,0,0,6.23,2.5,12,2022-06-13,FARM_0965,7.14
CATTLE_001116,Rathi,Global,IN,Subtropical,Intensive,126,333.7,3,Mid,301,Hay,13.3,4,91.6,8.69,5.8,7.0,6.0,35.0,61.2,Monsoon,0.94,1,1,1,1,0,0,0,1,9.56,3.5,12,2023-03-21,FARM_0514,6.92
CATTLE_001119,Hariana,Global,IN,Mediterranean,Intensive,101,470.5,2,Early,132,Crop_Residues,11.2,3,68.4,9.02,3.9,6.3,5.0,27.4,53.8,Monsoon,0.8,1,0,1,0,0,0,1,1,5.55,2.5,12,2022-11-08,FARM_0772,3.87
CATTLE_001122,Illawarra_Shorthorn,South_Asia,IN,Tropical,Semi_Intensive,118,712.1,2,Late,301,Silage,8.6,2,58.8,2.43,4.7,11.9,13.9,21.8,74.4,Monsoon,0.96,0,0,1,1,0,1,0,0,9.51,4.5,12,2022-05-10,FARM_0577,8.01
CATTLE_001135,Illawarra_Shorthorn,Global,IN,Mediterranean,Intensive,137,485.0,4,Early,236,Crop_Residues,16.5,2,66.9,4.4,4.0,7.1,5.2,21.6,31.2,Spring,0.96,1,1,1,0,0,1,1,1,7.68,4.5,12,2023-01-07,FARM_0543,7.61
CATTLE_001230,Guernsey,South_America,IN,Subtropical,Pastoral,74,683.6,5,Early,188,Dry_Fodder,16.7,3,82.6,1.98,7.3,11.3,8.4,12.7,58.7,Autumn,0.39,0,1,1,1,1,0,1,0,12.32,3.5,12,2023-02-26,FARM_0915,12.56
CATTLE_001260,Boran,Africa,IN,Continental,Mixed,53,332.4,1,Early,330,Pasture_Grass,5.2,3,80.9,1.91,6.8,6.7,9.8,21.3,47.9,Summer,0.84,0,1,1,1,0,1,1,1,0.0,4.5,24,2022-05-25,FARM_0872,0.78
CATTLE_001295,Australian_Milking_Zebu,South_Asia,IN,Continental,Intensive,139,668.6,1,Late,218,Silage,13.3,3,56.7,4.18,3.6,6.4,10.8,23.7,43.3,Autumn,0.41,1,0,0,0,1,0,0,1,6.88,3.5,12,2024-11-26,FARM_0103,7.76
CATTLE_001367,Deoni,South_Asia,IN,Arid,Extensive,35,516.7,5,Late,33,Crop_Residues,10.5,3,69.0,2.9,8.6,10.1,10.3,19.9,69.3,Summer,0.36,1,0,0,1,1,0,1,0,4.2,4.0,12,2023-12-25,FARM_0074,3.92
CATTLE_001375,Simmental,South_America,IN,Arid,Mixed,101,640.1,2,Late,71,Silage,4.7,1,92.5,6.19,7.3,8.0,13.5,20.0,32.7,Monsoon,0.74,1,1,1,1,1,1,0,0,13.46,4.0,12,2022-02-09,FARM_0582,13.39
CATTLE_001394,Deoni,South_Asia,IN,Tropical,Pastoral,61,537.7,3,Early,339,Pasture_Grass,11.8,5,64.6,4.2,5.1,11.2,7.2,34.3,72.3,Summer,0.45,1,1,1,1,0,0,1,0,4.04,4.0,12,2023-09-14,FARM_0311,1.21
CATTLE_001395,Africander,South_Asia,IN,Tropical,Pastoral,77,271.3,5,Mid,125,Dry_Fodder,13.5,4,56.3,0.5,11.4,7.9,10.7,19.5,74.1,Summer,0.84,0,1,0,1,1,0,1,0,3.22,4.0,12,2024-09-18,FARM_0371,1.78
CATTLE_001397,Simmental,Global,IN,Arid,Intensive,113,588.0,3,Late,274,Green_Fodder,12.8,2,87.1,4.05,7.5,7.4,10.3,19.4,79.7,Monsoon,0.56,1,0,0,1,0,1,1,1,16.26,2.0,12,2024-03-25,FARM_0396,16.09
CATTLE_001407,Norwegian_Red,South_America,IN,Temperate,Extensive,112,503.0,2,Late,148,Crop_Residues,9.4,2,51.2,3.48,6.8,9.6,6.0,8.1,59.9,Monsoon,0.69,1,0,1,1,0,0,0,0,5.87,4.0,12,2024-12-16,FARM_0343,8.62
CATTLE_001413,Hariana,South_America,IN,Tropical,Pastoral,52,412.7,3,Late,284,Pasture_Grass,11.3,5,65.6,6.86,7.7,8.3,13.4,25.1,17.6,Monsoon,0.8,1,1,1,0,1,0,0,1,3.61,3.0,8,2022-06-17,FARM_0793,4.98
CATTLE_001421,Hariana,South_Asia,IN,Tropical,Extensive,70,274.6,3,Mid,291,Mixed_Feed,13.9,4,46.5,1.09,6.7,10.4,10.0,31.7,52.6,Summer,0.45,1,1,0,1,1,0,1,0,5.52,2.5,6,2022-07-21,FARM_0971,6.43
CATTLE_001422,Danish_Red,Africa,IN,Mediterranean,Pastoral,32,485.0,5,Late,149,Dry_Fodder,11.5,4,57.7,5.82,1.6,9.1,10.3,20.2,65.7,Winter,0.76,1,0,1,0,1,1,1,1,15.75,3.5,12,2022-05-04,FARM_0825,15.66
CATTLE_001454,Ankole,Oceania,IN,Continental,Pastoral,87,430.8,3,Early,274,Pasture_Grass,11.2,2,38.0,6.06,3.0,8.1,5.0,24.2,80.2,Winter,0.63,0,1,0,1,0,1,1,0,5.81,4.0,12,2024-02-26,FARM_0266,3.52
CATTLE_001470,Milking_Shorthorn,Global,IN,Continental,Semi_Intensive,46,469.9,2,Mid,81,Mixed_Feed,10.8,2,47.3,2.71,4.6,5.9,12.1,0.9,80.1,Spring,0.33,1,0,0,1,1,1,0,0,19.51,3.5,12,2023-02-02,FARM_0512,18.96
CATTLE_001475,Simmental,Global,IN,Subtropical,Extensive,124,501.8,5,Late,193,Pasture_Grass,15.2,3,54.8,5.23,8.4,9.9,11.5,8.6,75.0,Winter,0.31,0,1,1,0,0,1,1,0,14.47,4.0,12,2023-04-13,FARM_0087,16.0
CATTLE_001476,Tharparkar,Oceania,IN,Mediterranean,Extensive,88,569.0,4,Early,137,Silage,10.7,5,73.9,5.11,7.9,8.9,8.4,26.3,47.8,Monsoon,0.67,0,0,0,0,0,1,0,1,11.25,3.0,12,2024-12-05,FARM_0252,10.37
CATTLE_001492,Jersey,South_Asia,IN,Mediterranean,Pastoral,118,427.0,4,Mid,264,Pasture_Grass,8.3,4,68.3,0.77,1.0,6.9,13.9,25.3,54.6,Summer,0.44,1,0,1,1,0,1,1,1,11.61,3.5,12,2024-05-31,FARM_0507,10.42
CATTLE_001500,Zebu_Cross_Brazil,Oceania,IN,Continental,Intensive,44,296.9,5,Early,112,Silage,12.7,2,36.3,0.71,7.9,13.9,8.7,9.7,82.1,Autumn,0.52,0,1,1,0,1,0,0,1,10.97,4.0,24,2022-07-10,FARM_0310,11.52
CATTLE_001511,Norwegian_Red,Oceania,IN,Arid,Pastoral,109,647.7,3,Mid,86,Pasture_Grass,16.4,2,51.3,2.58,4.5,10.5,11.3,5.3,39.1,Summer,0.77,0,1,0,1,1,1,1,1,23.83,4.0,8,2022-10-08,FARM_0138,24.01
CATTLE_001540,Deoni,Oceania,IN,Subtropical,Semi_Intensive,72,638.9,2,Mid,12,Crop_Residues,17.4,1,84.4,0.64,3.6,8.2,12.0,26.4,100.0,Summer,0.58,1,1,0,1,1,1,1,1,5.46,4.0,12,2023-02-16,FARM_0584,4.09
CATTLE_001556,Krishna_Valley,Africa,IN,Arid,Extensive,98,520.6,1,Mid,188,Dry_Fodder,10.7,2,41.8,6.86,3.4,8.2,8.0,24.0,66.4,Winter,0.73,1,1,1,1,1,0,1,1,9.27,3.5,12,2023-04-18,FARM_0126,6.14
CATTLE_001560,Boran,Oceania,IN,Tropical,Pastoral,136,735.3,3,Early,312,Silage,11.9,2,65.8,5.64,1.4,9.2,12.2,22.2,47.2,Winter,0.89,0,0,0,1,0,1,1,1,5.79,3.5,8,2022-10-19,FARM_0583,5.48
