feed_name,category,dry_matter_pct,crude_protein_pct,crude_fibre_pct,ndf_pct,adf_pct,adl_pct,starch_pct,ether_extract_pct,ash_pct,energy_mj_kg,calcium_g_kg,phosphorus_g_kg,source
Sesame Cake,Concentrate,91.5,40.0,6.0,18.0,10.0,2.5,8.0,9.0,11.0,11.5,19.0,12.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Wheat Bran,Byproduct,88.0,15.0,10.5,42.0,14.0,3.0,22.0,3.5,5.5,9.8,1.2,11.5,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
De-Oiled Rice Bran,Byproduct,90.0,14.5,13.0,45.0,22.0,4.5,18.0,1.2,14.0,8.3,1.5,15.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Raw Rice Bran,Byproduct,89.0,13.0,8.5,32.0,15.0,3.2,24.0,14.0,9.0,10.9,1.0,14.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Gram Chuni,Byproduct,89.0,17.5,16.0,38.0,24.0,3.8,28.0,2.8,6.0,10.3,3.5,4.0,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Tur Chuni,Byproduct,90.0,16.0,18.0,42.0,28.0,4.2,25.0,2.5,6.8,9.7,4.0,3.5,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Sugarcane Molasses,Byproduct,75.0,3.5,0.0,0.0,0.0,0.0,0.0,0.2,11.5,10.6,8.0,0.8,ICAR-NIANP Indian Feed Composition Tables (2013/2024)
Concentrate Feed Type II,Compound Feed,90.0,20.0,10.0,30.0,16.0,3.2,30.0,3.0,8.0,10.6,8.0,5.0,Bureau of Indian Standards (BIS 2052:2009 Type-II)
Concentrate Feed Type I,Compound Feed,90.0,22.0,8.0,26.0,14.0,2.8,32.0,4.0,7.5,10.9,10.0,6.0,Bureau of Indian Standards (BIS 2052:2009 Type-I)
Area Specific Mineral Mixture,Mineral Supplement,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,200.0,120.0,NDDB / ICAR Mineral Formulations
Bypass Fat,Energy Supplement,99.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,12.0,24.2,90.0,0.0,NDDB Commercial Specifications
